Country Code,ISO3,Country Name eng,Country Name fr,Unnamed: 4,Region,Income_Group
22.0,ABW,Aruba,Aruba,,,Revenu élevé
,AFE,,,,,Agrégats
2.0,AFG,Afghanistan,Afghanistan,,Asie du Sud,Faible revenu
,AFW,,,,,Agrégats
7.0,AGO,Angola,Angola,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
3.0,ALB,Albania,Albanie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
6.0,AND,Andorra,Andorre,,,Revenu élevé
,ARB,,Le monde arabe,,,Agrégats
225.0,ARE,United Arab Emirates,Émirats arabes unis,,,Revenu élevé
9.0,ARG,Argentina,Argentine,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
1.0,ARM,Armenia,Arménie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
5.0,ASM,American Samoa,Samoa américaines,,,Revenu élevé
8.0,ATG,Antigua and Barbuda,Antigua-et-Barbuda,,,Revenu élevé
10.0,AUS,Australia,Australie,,,Revenu élevé
11.0,AUT,Austria,Autriche,,,Revenu élevé
52.0,AZE,Azerbaijan,Azerbaïdjan,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
29.0,BDI,Burundi,Burundi,,Afrique subsaharienne (hors revenu élevé),Faible revenu
255.0,BEL,Belgium,Belgique,,,Revenu élevé
53.0,BEN,Benin,Bénin,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
233.0,BFA,Burkina Faso,Burkina Faso,,Afrique subsaharienne (hors revenu élevé),Faible revenu
16.0,BGD,Bangladesh,Bangladesh,,Asie du Sud,"Revenu intermédiaire, tranche inférieure"
27.0,BGR,Bulgaria,Bulgarie,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
13.0,BHR,Bahrain,Bahreïn,,,Revenu élevé
12.0,BHS,Bahamas,Bahamas,,,Revenu élevé
80.0,BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
57.0,BLR,Belarus,Bélarus,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
23.0,BLZ,Belize,Belize,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
17.0,BMU,Bermuda,Bermudes,,,Revenu élevé
